#OTU ID	CZ.MB64.S64.L001.R1	CZ.MB6.S6.L001.R1	CZ.MB71.S71.L001.R1	CZ.MB132.S132.L001.R1	CZ.MB115.S115.L001.R1	CZ.MB22.S22.L001.R1	CZ.MB41.S41.L001.R1	CZ.MB43.S43.L001.R1	CZ.MB120.S120.L001.R1	CZ.MB96.S96.L001.R1	CZ.MB128.S128.L001.R1	CZ.MB54.S54.L001.R1	CZ.MB107.S107.L001.R1	CZ.MB57.S57.L001.R1	CZ.MB29.S29.L001.R1	CZ.MB93.S93.L001.R1	CZ.MB4.S4.L001.R1	CZ.MB34.S34.L001.R1	CZ.MB116.S116.L001.R1	CZ.MB124.S124.L001.R1	CZ.MB26.S26.L001.R1	CZ.MB123.S123.L001.R1	CZ.MB136.S136.L001.R1	CZ.MB39.S39.L001.R1	CZ.MB55.S55.L001.R1	CZ.MB45.S45.L001.R1	CZ.MB89.S89.L001.R1	CZ.MB135.S135.L001.R1	CZ.MB72.S72.L001.R1	CZ.MB80.S80.L001.R1	CZ.MB127.S127.L001.R1	CZ.MB68.S68.L001.R1	CZ.MB84.S84.L001.R1	CZ.MB70.S70.L001.R1	CZ.MB90.S90.L001.R1	CZ.MB103.S103.L001.R1	CZ.MB105.S105.L001.R1	CZ.MB108.S108.L001.R1	CZ.MB94.S94.L001.R1	CZ.MB106.S106.L001.R1	CZ.MB112.S112.L001.R1	CZ.MB73.S73.L001.R1	CZ.MB51.S51.L001.R1	CZ.MB98.S98.L001.R1	CZ.MB77.S77.L001.R1	CZ.MB53.S53.L001.R1	CZ.MB91.S91.L001.R1	CZ.MB24.S24.L001.R1	CZ.MB56.S56.L001.R1	CZ.MB87.S87.L001.R1	CZ.MB20.S20.L001.R1	CZ.MB61.S61.L001.R1	CZ.MB113.S113.L001.R1	CZ.MB104.S104.L001.R1	CZ.MB110.S110.L001.R1	CZ.MB109.S109.L001.R1	CZ.MB5.S5.L001.R1	CZ.MB85.S85.L001.R1	CZ.MB1.S1.L001.R1	CZ.MB97.S97.L001.R1	CZ.MB44.S44.L001.R1	CZ.MB100.S100.L001.R1	CZ.MB119.S119.L001.R1	CZ.MB82.S82.L001.R1	CZ.MB17.S17.L001.R1	CZ.MB122.S122.L001.R1	CZ.MB28.S28.L001.R1	CZ.MB88.S88.L001.R1	CZ.MB19.S19.L001.R1	CZ.MB81.S81.L001.R1	CZ.MB83.S83.L001.R1	CZ.MB25.S25.L001.R1	CZ.MB133.S133.L001.R1	CZ.MB121.S121.L001.R1	CZ.MB99.S99.L001.R1	CZ.MB42.S42.L001.R1	CZ.MB69.S69.L001.R1	CZ.MB86.S86.L001.R1	CZ.MB31.S31.L001.R1	CZ.MB30.S30.L001.R1	CZ.MB47.S47.L001.R1	CZ.MB7.S7.L001.R1	CZ.MB134.S134.L001.R1	CZ.MB8.S8.L001.R1	CZ.MB27.S27.L001.R1	CZ.MB32.S32.L001.R1	CZ.MB2.S2.L001.R1	CZ.MB67.S67.L001.R1	CZ.MB52.S52.L001.R1	CZ.MB9.S9.L001.R1	CZ.MB102.S102.L001.R1	CZ.MB60.S60.L001.R1	CZ.MB16.S16.L001.R1	CZ.MB63.S63.L001.R1	CZ.MB92.S92.L001.R1	CZ.MB50.S50.L001.R1	CZ.MB79.S79.L001.R1	CZ.MB48.S48.L001.R1	CZ.MB21.S21.L001.R1	CZ.MB62.S62.L001.R1	CZ.MB36.S36.L001.R1	CZ.MB111.S111.L001.R1	CZ.MB58.S58.L001.R1	CZ.MB114.S114.L001.R1	CZ.MB3.S3.L001.R1	CZ.MB118.S118.L001.R1	CZ.MB126.S126.L001.R1	CZ.MB65.S65.L001.R1	CZ.MB117.S117.L001.R1	CZ.MB38.S38.L001.R1	CZ.MB78.S78.L001.R1	CZ.MB12.S12.L001.R1	CZ.MB37.S37.L001.R1	CZ.MB10.S10.L001.R1	CZ.MB33.S33.L001.R1	CZ.MB13.S13.L001.R1	CZ.MB95.S95.L001.R1	CZ.MB11.S11.L001.R1	CZ.MB40.S40.L001.R1	CZ.MB59.S59.L001.R1	CZ.MB66.S66.L001.R1	CZ.MB35.S35.L001.R1	CZ.MB14.S14.L001.R1	CZ.MB18.S18.L001.R1	CZ.MB130.S130.L001.R1	CZ.MB129.S129.L001.R1	CZ.MB76.S76.L001.R1	CZ.MB125.S125.L001.R1	CZ.MB101.S101.L001.R1	CZ.MB23.S23.L001.R1	CZ.MB75.S75.L001.R1	CZ.MB49.S49.L001.R1	CZ.MB131.S131.L001.R1	CZ.MB46.S46.L001.R1
NR_144750.1 Prevotellamassilia timonensis strain Marseille-P2831 16S ribosomal RNA, partial sequence	888	0	653	0	23	0	274	5	485	4	1	0	0	14	1	17	0	1447	333	0	1	89	71	3	0	0	7	0	0	12	0	1028	0	5	13	3	1	0	416	0	69	1	4	263	0	0	22	13	0	107	49	50	13	1	2202	102	0	0	1	2	0	2	236	8	258	2	0	707	1	0	1	0	1	5	0	4	3	0	1	1	0	1	3848	31	1	0	0	378	37	11028	0	52	391	20	16	1	0	1	0	90	24	50	1113	37	5	404	0	1	0	31	0	32	45	6	4	35	290	27	2	76	729	91	1	3	0	1	0	1	0	0	0	0	0	1
NR_074755.1 Treponema succinifaciens strain DSM 2489 16S ribosomal RNA gene, complete sequence	3	6177	9	0	1	1	6	255	0	19	0	0	3296	496	892	22	805	1301	0	1	9	5	30	2	33	0	0	1	1	26	0	14	2	43	3	48	105	1	4	0	0	0	411	1	158	747	87	0	338	2340	11	3	4	42	17	706	0	7292	25	80	0	0	0	2244	4	85	312	1064	160	247	241	97	0	54	1	561	5	1	51	0	33	0	83	6572	715	156	150	0	210	663	58	0	1	7	0	42	3071	0	1	5	87	0	3224	2	1340	0	0	1	20	8	53	105	48	8	511	25	0	17	4	1	0	2	82	16	10	1	127	0	916	0	0	612	1006	2
NR_026146.1 Sarcina ventriculi strain DSM 286 16S ribosomal RNA gene, partial sequence	175	6393	9	14335	682	37029	2925	2983	2590	41835	1012	26472	34008	2143	8957	396	15403	727	124	2436	9875	98	2293	1829	5717	33	965	36317	10328	3759	23701	1826	19585	2368	516	40410	18850	134	997	10131	625	622	7694	93	6	15564	1717	6	4283	2633	696	2786	503	13803	504	9230	3427	7865	2457	7127	15269	810	875	5714	2693	3416	1615	831	4366	2762	12543	8	14	28	4380	46	12	53	468	11844	12	122	139	155	5975	714	10616	4230	4136	1370	1449	74	1127	381	63	3264	23	11	5	209	89	202	415	58	2019	904	7	1081	354	703	11	920	656	61	822	60	736	58	216	40	1127	452	35	99	2	10	18	2205	17	216	25	7	4	19
NR_025412.1 Acinetobacter schindleri strain LUH5832 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	721	0	0	1	0	1	0	0	0	0	0	0	0	0	0	46	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0
NR_024926.1 Eubacterium aggregans strain SR12 16S ribosomal RNA gene, partial sequence	0	0	2	0	9	0	0	2	0	5	0	0	0	0	0	4	1	0	0	0	0	26	2	3	1	0	12	0	0	0	0	0	0	9	2	0	1	1	0	0	94	0	0	1	0	1	38	0	0	0	3	199	31	0	0	0	2	0	0	1	0	1	0	0	0	5	0	0	1	0	1	12	0	6	0	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	5	1	0	14	1	0	11	2	14	1	9	0	0	0	0	0	18	5	9	38	1	0	3	0	0	0	24	0	28	0	30	2	0	0	0	1	0	0	8	3	0
NR_024661.1 Eubacterium ruminantium strain GA195 16S ribosomal RNA gene, partial sequence	4	3	0	381	10	0	18	179	1	20	0	7	6	125	3	7	2	47	6	0	117	1	0	2	84	0	3	1	0	277	0	17	460	80	1	80	3	11	0	241	1	0	10	1	0	1	20	0	43	214	0	37	7	17	10	260	0	9	34	1036	0	0	11	36	3	48	71	19	145	1	4	0	9	32	0	32	6	76	9	213	0	14	147	3	55	11	4	6	31	63	15	8	1	15	8	12	1	0	0	28	4	4	471	12	0	6	0	1	2	14	0	7	9	0	110	3	6	11	0	0	5	0	3	121	0	1	0	0	0	0	0	0	0	0
NR_024634.1 Streptococcus porcinus strain 176 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NR_024750.1 Coprococcus catus strain VPI-C6-61 16S ribosomal RNA gene, partial sequence	2	19	3	64	37	1	17	112	5	52	1	31	8	22	63	83	129	46	3	0	81	4	0	70	71	8	17	5	0	242	1	55	165	165	7	61	70	93	2	33	47	5	11	0	16	166	42	0	28	25	5	96	34	26	26	25	12	33	34	110	4	0	5	41	29	63	14	33	111	7	78	0	30	44	12	43	93	118	62	46	0	48	29	9	26	16	42	20	16	24	20	56	15	80	20	18	0	0	0	70	19	11	46	29	25	0	0	21	12	50	8	24	11	9	29	5	37	20	8	41	6	23	12	49	0	0	4	0	1	0	1	0	0	0
NR_024667.1 Staphylococcus kloosii strain ATCC 43959 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NR_024719.1 [Clostridium] hylemonae strain TN-272 16S ribosomal RNA gene, partial sequence	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	3	0	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
