#OTU ID	CZ.MB96	CZ.MB83	CZ.MB119	CZ.MB43	CZ.MB9	CZ.MB14	CZ.MB84	CZ.MB97	CZ.MB3	CZ.MB106	CZ.MB76	CZ.MB18	CZ.MB38	CZ.MB125	CZ.MB12	CZ.MB117	CZ.MB121	CZ.MB11	CZ.MB56	CZ.MB67	CZ.MB134	CZ.MB129	CZ.MB82	CZ.MB33	CZ.MB10	CZ.MB91	CZ.MB13	CZ.MB87	CZ.MB112	CZ.MB90	CZ.MB57	CZ.MB89	CZ.MB75	CZ.MB132	CZ.MB19	CZ.MB80	CZ.MB31	CZ.MB105	CZ.MB108	CZ.MB79	CZ.MB93	CZ.MB70	CZ.MB42	CZ.MB20	CZ.MB69	CZ.MB122	CZ.MB118	CZ.MB113	CZ.MB27	CZ.MB136	CZ.MB124	CZ.MB39	CZ.MB7	CZ.MB29	CZ.MB16	CZ.MB86	CZ.MB126	CZ.MB58	CZ.MB44	CZ.MB102	CZ.MB34	CZ.MB135	CZ.MB99	CZ.MB60	CZ.MB92	CZ.MB114	CZ.MB71	CZ.MB68	CZ.MB45	CZ.MB59	CZ.MB130	CZ.MB77	CZ.MB116	CZ.MB40	CZ.MB17	CZ.MB123	CZ.MB23	CZ.MB24	CZ.MB94	CZ.MB5	CZ.MB2	CZ.MB22	CZ.MB128	CZ.MB30	CZ.MB35	CZ.MB115	CZ.MB104	CZ.MB54	CZ.MB107	CZ.MB103	CZ.MB78	CZ.MB53	CZ.MB55	CZ.MB41	CZ.MB32	CZ.MB64	CZ.MB85	CZ.MB95	CZ.MB133	CZ.MB66	CZ.MB61	CZ.MB73	CZ.MB110	CZ.MB4	CZ.MB37	CZ.MB65	CZ.MB100	CZ.MB50	CZ.MB88	CZ.MB111	CZ.MB28	CZ.MB109	CZ.MB8	CZ.MB25	CZ.MB36	CZ.MB26	CZ.MB120	CZ.MB63	CZ.MB6	CZ.MB98	CZ.MB21	CZ.MB62	CZ.MB52	CZ.MB127	CZ.MB46	CZ.MB49	CZ.MB47	CZ.MB72	CZ.MB48	CZ.MB101	CZ.MB131	CZ.MB51	CZ.MB1	CZ.MB81
NR_025930.1 Ruminococcus bromii strain ATCC 27255 16S ribosomal RNA gene, partial sequence	2428	262	187	3278	149	216	176	733	469	897	378	3	2029	1	491	401	1188	597	906	839	327	0	1063	166	965	11	318	73	3444	368	116	2546	3	105	1500	288	340	140	95	16	801	1654	9	1376	640	593	283	2853	3116	265	1	1598	80	49	696	154	2	442	2	182	1545	9	1	1005	351	397	390	1098	4	185	287	322	248	318	503	331	0	4	8	6	1274	0	1	81	3491	833	5463	18	169	7809	813	158	1254	643	102	60	120	7	5	324	205	1	4923	61	382	953	0	85	1723	1811	1328	81	30	4	2008	11206	88	1605	26	63	4	1014	1274	1	0	5	3866	0	132	10	64	1875	25	540
NR_025412.1 Acinetobacter schindleri strain LUH5832 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	749	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	45	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
NR_024926.1 Eubacterium aggregans strain SR12 16S ribosomal RNA gene, partial sequence	6	1	0	2	0	0	0	1	0	0	0	31	18	0	9	0	7	0	0	0	0	0	0	0	1	39	3	1	98	3	0	13	0	0	1	0	0	1	1	12	4	10	16	4	11	5	0	32	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	27	1	9	2	0	0	25	1	0	0	0	0	24	0	0	0	2	0	0	0	0	31	11	0	0	0	0	5	1	1	0	0	0	0	0	0	0	210	0	0	1	43	0	1	0	0	15	0	0	0	12	2	0	0	5	0	1	0	13	0	0	0	9	0	0	2	0	3	0	0	0
NR_024813.1 Lactobacillus kitasatonis strain JCM 1039 16S ribosomal RNA gene, partial sequence	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
NR_024719.1 [Clostridium] hylemonae strain TN-272 16S ribosomal RNA gene, partial sequence	123	2	3	133	96	90	92	97	47	28	8	318	25	14	38	9	243	20	52	0	86	31	48	8	1	101	1	6	62	18	14	16	1	32	302	138	61	0	14	7	112	387	219	28	61	29	0	71	31	41	6	115	104	6	7	6	58	133	42	12	57	164	13	47	21	27	4	10	38	39	4	5	1	1	4	29	24	4	3	0	11	19	23	28	26	55	22	0	4	5	53	2	10	6	26	9	45	0	6	1	237	9	93	3	71	1	22	15	76	23	79	13	4	0	12	22	0	175	10	10	19	107	10	8	101	1	13	32	13	3	1	26	67	5
NR_024661.1 Eubacterium ruminantium strain GA195 16S ribosomal RNA gene, partial sequence	30	4	9	212	64	4	492	1141	0	250	0	151	16	0	9	1	43	10	43	2	161	1	40	117	0	21	4	234	2	2	134	3	0	404	163	296	9	3	13	1	11	97	49	0	13	56	6	9	56	0	0	1	15	3	1	79	0	504	0	16	52	0	0	11	10	21	0	21	0	2	0	0	5	0	4	1	0	0	0	0	5	0	0	231	0	9	17	7	8	86	0	3	91	27	14	4	12	9	9	7	55	0	9	1	12	2	0	12	20	4	74	265	4	0	7	120	1	14	4	1	0	39	28	0	0	0	0	0	0	0	0	11	37	1
NR_024634.1 Streptococcus porcinus strain 176 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024684.1 Eubacterium nitritogenes strain JCM 6485 16S ribosomal RNA gene, partial sequence	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	48	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	7	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	2	0	0	0	2	0	0	0	0	0	74	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024667.1 Staphylococcus kloosii strain ATCC 43959 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024750.1 Coprococcus catus strain VPI-C6-61 16S ribosomal RNA gene, partial sequence	57	83	6	123	23	13	179	114	26	35	5	51	49	0	27	14	49	22	27	23	31	0	42	28	9	48	5	26	47	7	24	18	0	62	115	253	67	75	100	1	92	171	47	5	97	67	1	37	26	0	0	80	50	66	15	121	0	52	4	24	48	6	15	59	21	34	4	59	8	47	0	17	3	8	32	4	0	0	2	15	46	1	1	51	24	40	25	34	8	66	6	170	76	18	15	5	39	38	30	6	97	4	29	137	12	24	0	23	30	12	14	25	10	0	19	88	6	87	20	0	0	75	17	2	0	0	0	0	0	1	0	11	36	9
NR_024785.1 Rothia aeria strain A1-17B 16S ribosomal RNA gene, partial sequence	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NR_024829.1 [Clostridium] straminisolvens strain CSK1 16S ribosomal RNA gene, partial sequence	2	39	0	38	12	3	69	28	67	10	0	10	25	0	37	1	1	8	59	0	2	0	76	39	0	31	6	101	12	2	5	7	0	13	11	160	37	12	48	934	22	70	21	3	2	5	0	59	31	0	1	75	23	31	1	57	0	5	0	41	7	0	2	26	7	46	0	3	0	17	0	0	0	0	0	0	0	0	0	13	41	0	0	292	21	174	45	17	14	8	0	18	37	1	43	0	75	0	26	0	103	0	10	30	63	1	0	43	20	6	58	129	30	52	8	31	0	184	38	0	0	137	89	0	0	96	1	0	0	135	302	240	65	19
NR_024815.1 Prevotella shahii strain EHS11 16S ribosomal RNA gene, partial sequence	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024816.1 Prevotella salivae strain EPSA11 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024835.1 Lactobacillus manihotivorans strain OND 32 16S ribosomal RNA gene, complete sequence	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024919.1 Clostridium frigidicarnis strain SPL77A 16S ribosomal RNA gene, partial sequence	0	3	0	0	0	0	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	5	0	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
NR_024905.1 Enterococcus cecorum strain A60 16S ribosomal RNA gene, partial sequence	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NR_024842.1 Streptococcus parasanguinis strain ATCC 15912 16S ribosomal RNA gene, partial sequence	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	2	4	0	2	0	1	0	0	0	2	0	0	1	1	1	0	0	2	0	1	2	1	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	1	3	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NR_024899.1 Mannheimia granulomatis strain ATCC 49244 16S ribosomal RNA gene, partial sequence	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024853.1 Azonexus fungiphilus strain BS5-8 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024884.1 Dechloromonas agitata strain CKB 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025206.1 Hespellia porcina strain PC80 16S ribosomal RNA gene, partial sequence	125	32	7	88	135	8	102	259	99	56	17	203	35	14	31	5	139	12	43	7	44	7	184	15	5	51	8	9	75	23	12	55	3	50	168	151	60	107	137	38	82	204	168	22	49	21	0	44	289	12	25	56	32	29	6	35	0	90	2	52	53	28	14	41	27	30	54	43	37	54	8	49	5	2	7	47	0	7	7	4	2029	1	12	46	34	53	254	16	65	117	35	65	84	28	34	24	42	5	12	5	122	33	123	21	27	10	7	34	84	23	71	18	0	2	3	31	5	82	8	14	6	60	348	17	5	2	28	0	11	0	10	283	81	79
NR_025019.1 Clostridium peptidivorans strain TMC4 16S ribosomal RNA gene, partial sequence	16	1	0	1	1	0	5	3	0	7	0	0	0	0	0	0	0	0	6	0	1	0	3	4	0	0	0	0	0	4	2	0	0	7	3	5	3	7	1	1	0	1	0	0	0	3	0	1	2	0	1	0	1	3	0	0	0	0	5	0	0	7	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	3	4	5	1	2	0	2	1	12	21	20	0	5	3	1	0	0	4	0	0	1	1	0	1	9	0	0	1	2	2	2	0	1	0	0	0	3	0	0	1	0	0	0	2	2	0	1	0	4	0	1	0	3	0	0
NR_024993.1 [Clostridium] fimetarium strain Z-2189 16S ribosomal RNA gene, partial sequence	36	2	21	173	17	19	54	144	10	104	2	36	0	3	5	5	15	10	2	26	16	0	3	6	31	30	4	6	32	24	4	5	0	39	39	17	9	1	5	0	54	159	89	0	15	21	3	0	12	0	0	3	162	0	16	6	0	23	1	0	1	4	1	4	11	3	2	194	0	0	0	0	49	1	23	1	0	0	40	0	0	2	0	54	1	6	2	1	13	5	0	0	5	28	7	41	42	38	1	24	4	4	6	0	0	7	0	0	2	0	1	1	2	0	0	8	10	2	6	0	0	1	0	0	0	0	0	0	0	1	1	2	11	1
NR_024945.1 Clostridium gasigenes strain DSM 12272 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024994.1 Lactobacillus mucosae strain S32 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025025.1 Papillibacter cinnamivorans strain CIN1 16S ribosomal RNA gene, partial sequence	67	47	19	32	50	7	38	40	35	22	2	30	37	0	26	12	78	24	63	18	6	0	43	35	3	39	10	48	60	21	81	23	0	26	29	90	70	39	74	88	102	118	45	3	27	28	8	66	46	0	0	65	33	58	16	7	0	41	0	50	19	0	0	33	12	27	4	31	0	13	2	1	4	17	24	3	0	0	12	4	35	0	0	33	29	86	56	14	16	42	2	48	78	13	36	20	92	7	4	6	81	0	11	63	48	43	0	10	40	23	17	87	12	4	12	22	1	113	19	0	0	88	51	2	0	1	0	0	0	23	19	61	30	15
NR_025046.1 Veillonella criceti strain ATCC 17747 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	3	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025073.1 Haemophilus felis strain ATCC 49733 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025127.1 Lachnobacterium bovis strain LRC 5382 16S ribosomal RNA gene, partial sequence	0	9	0	0	0	1	27	0	12	1	0	0	11	0	3	0	1	2	0	0	0	0	3	0	0	5	0	0	1	0	0	3	0	1	0	1	2	21	2	0	9	1	0	0	1	0	0	6	0	0	0	23	1	3	0	0	0	0	0	13	0	0	0	2	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	16	24	5	0	2	0	7	1	0	0	0	0	0	0	0	9	0	0	4	0	0	0	2	0	8	45	0	0	0	0	71	0	39	2	0	0	8	6	0	0	0	0	0	0	0	0	1	4	2
NR_025390.1 Parasporobacterium paucivorans strain SYR1 16S ribosomal RNA gene, partial sequence	66	69	337	73	49	44	192	211	192	32	73	65	97	0	79	418	45	24	99	591	9	0	34	31	39	441	11	7	95	25	15	23	0	24	172	277	43	29	12	1	695	165	12	0	2	169	679	60	223	0	0	57	31	24	590	7	0	109	2	47	2	5	0	69	155	27	1	839	1	35	0	0	55	81	446	1	0	0	54	0	5	2	0	698	18	94	48	108	135	46	4	75	82	411	15	67	426	764	10	1458	97	0	1	67	6	219	1	16	12	92	178	27	3	1	21	99	4	111	90	1	2	121	70	2	0	0	0	0	1	0	0	25	67	1
NR_025230.1 Megasphaera micronuciformis strain AIP 412.00 16S ribosomal RNA gene, partial sequence	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	22	1	0	1	0	0	2	0	1	0	0	3	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	2	1	8	1	1	0	0	0	2	0	0	0	0	0	0	0	9	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	5	0	0	132	0	0	0	1	0	0	2	0	1	0	0	0	0	0
