#OTU ID	CZ.MB96.S96.L001.	CZ.MB83.S83.L001.	CZ.MB119.S119.L001.	CZ.MB43.S43.L001.	CZ.MB9.S9.L001.	CZ.MB14.S14.L001.	CZ.MB84.S84.L001.	SZ.SC4.S140.L001.	CZ.MB97.S97.L001.	CZ.MB3.S3.L001.	CZ.MB106.S106.L001.	CZ.MB76.S76.L001.	CZ.MB18.S18.L001.	CZ.MB38.S38.L001.	SZ.SC2.S138.L001.	CZ.MB125.S125.L001.	CZ.MB12.S12.L001.	CZ.MB117.S117.L001.	CZ.MB121.S121.L001.	CZ.MB11.S11.L001.	CZ.MB56.S56.L001.	CZ.MB67.S67.L001.	CZ.MB134.S134.L001.	CZ.MB129.S129.L001.	CZ.MB82.S82.L001.	CZ.MB33.S33.L001.	CZ.MB10.S10.L001.	CZ.MB91.S91.L001.	CZ.MB13.S13.L001.	CZ.MB87.S87.L001.	CZ.MB112.S112.L001.	CZ.MB90.S90.L001.	CZ.MB57.S57.L001.	CZ.MB89.S89.L001.	CZ.MB75.S75.L001.	CZ.MB132.S132.L001.	CZ.MB19.S19.L001.	CZ.MB80.S80.L001.	CZ.MB31.S31.L001.	CZ.MB105.S105.L001.	CZ.MB108.S108.L001.	CZ.MB79.S79.L001.	CZ.MB93.S93.L001.	SZ.SC5.S141.L001.	CZ.MB70.S70.L001.	CZ.MB42.S42.L001.	CZ.MB20.S20.L001.	CZ.MB69.S69.L001.	CZ.MB122.S122.L001.	CZ.MB118.S118.L001.	CZ.MB113.S113.L001.	SZ.SC7.S143.L001.	CZ.MB27.S27.L001.	CZ.MB136.S136.L001.	CZ.MB124.S124.L001.	CZ.MB39.S39.L001.	CZ.MB7.S7.L001.	CZ.MB29.S29.L001.	CZ.MB16.S16.L001.	CZ.MB86.S86.L001.	CZ.MB126.S126.L001.	CZ.MB58.S58.L001.	CZ.MB44.S44.L001.	CZ.MB102.S102.L001.	CZ.MB34.S34.L001.	SZ.SC3.S139.L001.	CZ.MB135.S135.L001.	CZ.MB99.S99.L001.	CZ.MB60.S60.L001.	CZ.MB92.S92.L001.	CZ.MB114.S114.L001.	CZ.MB71.S71.L001.	CZ.MB68.S68.L001.	CZ.MB45.S45.L001.	CZ.MB59.S59.L001.	CZ.MB130.S130.L001.	CZ.MB77.S77.L001.	CZ.MB116.S116.L001.	CZ.MB40.S40.L001.	CZ.MB17.S17.L001.	CZ.MB123.S123.L001.	CZ.MB23.S23.L001.	CZ.MB24.S24.L001.	CZ.MB94.S94.L001.	CZ.MB5.S5.L001.	CZ.MB2.S2.L001.	CZ.MB22.S22.L001.	CZ.MB128.S128.L001.	CZ.MB30.S30.L001.	CZ.MB35.S35.L001.	CZ.MB115.S115.L001.	CZ.MB104.S104.L001.	CZ.MB54.S54.L001.	CZ.MB107.S107.L001.	CZ.MB103.S103.L001.	CZ.MB78.S78.L001.	CZ.MB53.S53.L001.	CZ.MB55.S55.L001.	CZ.MB41.S41.L001.	CZ.MB32.S32.L001.	CZ.MB64.S64.L001.	CZ.MB85.S85.L001.	CZ.MB95.S95.L001.	CZ.MB133.S133.L001.	CZ.MB66.S66.L001.	CZ.MB61.S61.L001.	CZ.MB73.S73.L001.	CZ.MB110.S110.L001.	CZ.MB4.S4.L001.	CZ.MB37.S37.L001.	CZ.MB65.S65.L001.	CZ.MB100.S100.L001.	CZ.MB50.S50.L001.	CZ.MB88.S88.L001.	CZ.MB111.S111.L001.	CZ.MB28.S28.L001.	CZ.MB109.S109.L001.	CZ.MB8.S8.L001.	CZ.MB25.S25.L001.	SZ.SC6.S142.L001.	CZ.MB36.S36.L001.	CZ.MB26.S26.L001.	CZ.MB120.S120.L001.	CZ.MB63.S63.L001.	CZ.MB6.S6.L001.	CZ.MB98.S98.L001.	CZ.MB21.S21.L001.	CZ.MB62.S62.L001.	CZ.MB52.S52.L001.	CZ.MB127.S127.L001.	CZ.MB46.S46.L001.	CZ.MB49.S49.L001.	CZ.MB47.S47.L001.	CZ.MB72.S72.L001.	CZ.MB48.S48.L001.	CZ.MB101.S101.L001.	CZ.MB131.S131.L001.	SZ.SC1.S137.L001.	CZ.MB51.S51.L001.	CZ.MB1.S1.L001.	CZ.MB81.S81.L001.	CZ.MB15.S15.L001.
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	1332	4144	641	6200	976	2166	2592	331	7115	1850	1386	2032	1631	3606	980	337	5963	911	1957	4566	3648	1329	360	948	1807	582	1967	6703	3159	3526	4562	4581	812	3433	11	686	3781	6184	1694	2654	2033	1510	7957	218	3470	2841	689	1387	862	343	4065	1488	3674	263	462	1668	1425	2123	1548	780	139	1651	58	3409	1290	284	572	505	4772	4393	1093	281	5268	383	2380	234	520	645	2160	661	1158	162	51	625	187	3175	222	275	2446	2595	2194	3576	861	900	4644	772	1563	3881	1426	2103	822	6896	1443	276	1874	8051	210	4838	1874	1584	1928	279	891	1197	4746	1902	2149	483	25	56	1571	5518	67	3258	4579	260	94	2331	2840	249	29	82	897	65	95	306	389	1347	3924	1345	1151	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	4757	2829	347	552	225	49	6827	5	1356	635	5457	19	30	146	289	379	176	1436	83	23	15149	938	34	4	998	152	25	469	18	538	164	391	476	210	8	6863	740	825	4288	5193	18253	106	335	7	506	33	127	5	634	410	201	41	1447	453	431	455	1208	2058	254	3617	6	138	1860	364	160	16	4619	719	21	19	26	6	442	12	10	1	3	43	214	481	23	41	4	200	2203	2098	2660	193	2170	113	292	3137	5424	5465	7294	7	3147	18804	657	10206	43	4158	224	1761	312	696	104	129	3233	236	1045	171	700	379	47	461	1907	36	82	56	29	1881	508	113	1326	24	5	58	808	2338	11	25	3	1037	7	36	20	3	1217	607	415	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Muribaculum	1	0	93	1285	0	0	0	0	62	0	0	0	1	1	0	0	0	148	36	0	0	101	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	47	551	0	149	95	188	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	3	98	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	11	0	89	1	0	0	0	0	477	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	12	4	3	0	2	3	10	6	5	2	5	8	4	0	18	23400	2	4	2	4	1931	9	6	10139	9	2	0	3	2	4	4	3	4	1	22958	11	1	5	710	4	873	9	9	1	8	4	1993	2	1	2	4	3	3	4359	25561	2	108	2	8	169	17694	3	3850	6	3	2	6286	10260	4	3	1	8459	6	15176	1	2809	7423	2	3	2	6388	11216	3830	4	4	2	4546	11842	9	3	5	6	7	2	13	8898	3	2664	5	251	1	5	3	99	6	8	17520	6	2	0	2	11630	1	7	7	8	7	0	3	4	4	4	0	12	4	13417	19638	9	7	21566	17859	4	9782	5678	26087	7	1	4	5	4	5	0
k__Bacteria	846	263	64	995	52	209	66	7	600	67	22	69	98	512	36	5	333	254	127	232	519	96	87	10	211	40	53	609	106	67	243	158	22	259	5	24	443	82	80	304	87	13	1230	3	176	537	15	61	710	8	551	6	22	35	1	2064	214	61	109	13	12	68	43	38	49	5	66	62	125	236	150	23	423	134	447	5	5	3	10	91	24	2	0	10	0	4	25	5	102	633	271	81	323	29	13	10	16	108	80	100	6	56	125	17	114	2826	51	12	89	479	4	30	4	23	77	30	51	11	4	3	354	35	6	1766	15	35	11	278	109	22	1	4	5	29	5	3	14	221	13	37	8	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae;t__Methanosphaera_stadtmanae_DSM_3091	0	2658	45	0	2	111	25	0	0	27	109	0	0	878	0	0	578	32	0	135	892	19	3	0	279	4	37	694	89	148	3053	744	12	524	4	123	1	127	475	5793	753	1	1008	1	0	0	50	0	1	11	1008	1	1096	6	0	1465	14	2124	15	46	0	0	0	293	0	0	1	0	1765	282	1706	77	38	0	801	0	0	33	6	15	231	0	0	23	39	634	0	0	22	496	1462	1074	296	2528	1949	2	5246	1503	43	27	61	1227	10	25	14	4653	0	0	3324	314	8	0	1061	0	510	282	478	0	0	0	94	745	32	3177	269	6	0	2543	716	0	2	0	0	0	2	0	0	1	521	401	125	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_millerae	0	29	0	0	0	0	162	0	0	0	14	0	1	0	19	0	0	0	0	0	11341	0	0	0	0	0	0	0	0	0	0	1	1	0	0	10	0	0	2971	234	10105	1	0	2	0	1	0	0	1	0	1	66	0	0	0	1	107	5	0	450	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	26	0	1	0	3230	5180	0	0	11	10194	0	120	0	718	1	104	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	134	2	7	2	11	4	1	7	4	1	0	11	68	5	0	48	0	0	1	394	0	2	0	37	0	0	72	2	2	66	15	4	16	0	0	6	12	141	505	381	92	35	1	0	0	0	0	1	0	127	2	386	0	0	56	4	85	0	7	0	0	0	76	0	9	0	0	49	23	73	3	1	0	8	0	0	0	0	0	2	0	0	0	28	224	0	0	0	11	202	498	98	471	658	0	257	513	0	4	0	99	0	2	0	182	0	14	139	10	0	0	287	19	45	45	14	0	16	0	7	142	0	106	10	0	0	59	84	0	0	26	0	0	0	12	33	18	119	122	37	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	1	0	0	2	1	0	1	0	0	0	0	4	17	10	1	1	0	0	0	0	0	0	0	2	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	25	0	14	29	0	7	11	0	0	0	0	0	0	0	6	0	0	1	0	0	0	13	0	0	2	0	0	2	0	0	12	0	5	0	0	0	0	3	0	0	3	0	0	0	0	2	0	1	6	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
