#OTU ID	CZ.MB96	CZ.MB83	CZ.MB119	CZ.MB43	CZ.MB9	CZ.MB14	CZ.MB84	CZ.MB97	CZ.MB3	CZ.MB106	CZ.MB76	CZ.MB18	CZ.MB38	CZ.MB125	CZ.MB12	CZ.MB117	CZ.MB121	CZ.MB11	CZ.MB56	CZ.MB67	CZ.MB134	CZ.MB129	CZ.MB82	CZ.MB33	CZ.MB10	CZ.MB91	CZ.MB13	CZ.MB87	CZ.MB112	CZ.MB90	CZ.MB57	CZ.MB89	CZ.MB75	CZ.MB132	CZ.MB19	CZ.MB80	CZ.MB31	CZ.MB105	CZ.MB108	CZ.MB79	CZ.MB93	CZ.MB70	CZ.MB42	CZ.MB20	CZ.MB69	CZ.MB122	CZ.MB118	CZ.MB113	CZ.MB27	CZ.MB136	CZ.MB124	CZ.MB39	CZ.MB7	CZ.MB29	CZ.MB16	CZ.MB86	CZ.MB126	CZ.MB58	CZ.MB44	CZ.MB102	CZ.MB34	CZ.MB135	CZ.MB99	CZ.MB60	CZ.MB92	CZ.MB114	CZ.MB71	CZ.MB68	CZ.MB45	CZ.MB59	CZ.MB130	CZ.MB77	CZ.MB116	CZ.MB40	CZ.MB17	CZ.MB123	CZ.MB23	CZ.MB24	CZ.MB94	CZ.MB5	CZ.MB2	CZ.MB22	CZ.MB128	CZ.MB30	CZ.MB35	CZ.MB115	CZ.MB104	CZ.MB54	CZ.MB107	CZ.MB103	CZ.MB78	CZ.MB53	CZ.MB55	CZ.MB41	CZ.MB32	CZ.MB64	CZ.MB85	CZ.MB95	CZ.MB133	CZ.MB66	CZ.MB61	CZ.MB73	CZ.MB110	CZ.MB4	CZ.MB37	CZ.MB65	CZ.MB100	CZ.MB50	CZ.MB88	CZ.MB111	CZ.MB28	CZ.MB109	CZ.MB8	CZ.MB25	CZ.MB36	CZ.MB26	CZ.MB120	CZ.MB63	CZ.MB6	CZ.MB98	CZ.MB21	CZ.MB62	CZ.MB52	CZ.MB127	CZ.MB46	CZ.MB49	CZ.MB47	CZ.MB72	CZ.MB48	CZ.MB101	CZ.MB131	CZ.MB51	CZ.MB1	CZ.MB81
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	1332	4144	641	6200	976	2166	2592	7115	1850	1386	2032	1631	3606	337	5963	911	1957	4566	3648	1329	360	948	1807	582	1967	6703	3159	3526	4562	4581	812	3433	11	686	3781	6184	1694	2654	2033	1510	7957	3470	2841	689	1387	862	343	4065	3674	263	462	1668	1425	2123	1548	780	139	1651	58	3409	1290	572	505	4772	4393	1093	281	5268	383	2380	234	520	645	2160	661	1158	162	51	625	187	3175	222	275	2446	2595	2194	3576	861	900	4644	772	1563	3881	1426	2103	822	6896	1443	276	1874	8051	210	4838	1874	1584	1928	279	891	1197	4746	1902	2149	483	25	1571	5518	67	3258	4579	260	94	2331	2840	249	29	82	897	65	95	306	389	3924	1345	1151
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	4757	2829	347	552	225	49	6827	1356	635	5457	19	30	146	379	176	1436	83	23	15149	938	34	4	998	152	25	469	18	538	164	391	476	210	8	6863	740	825	4288	5193	18253	106	335	506	33	127	5	634	410	201	1447	453	431	455	1208	2058	254	3617	6	138	1860	364	160	4619	719	21	19	26	6	442	12	10	1	3	43	214	481	23	41	4	200	2203	2098	2660	193	2170	113	292	3137	5424	5465	7294	7	3147	18804	657	10206	43	4158	224	1761	312	696	104	129	3233	236	1045	171	700	379	47	461	1907	36	82	29	1881	508	113	1326	24	5	58	808	2338	11	25	3	1037	7	36	20	1217	607	415
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Muribaculum	1	0	93	1285	0	0	0	62	0	0	0	1	1	0	0	148	36	0	0	101	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	47	551	0	149	95	188	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	3	98	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	11	0	89	1	0	0	0	0	477	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	12	4	3	0	2	3	10	5	2	5	8	4	0	23400	2	4	2	4	1931	9	6	10139	9	2	0	3	2	4	4	3	4	1	22958	11	1	5	710	4	873	9	9	8	4	1993	2	1	2	4	3	4359	25561	2	108	2	8	169	17694	3	3850	6	3	6286	10260	4	3	1	8459	6	15176	1	2809	7423	2	3	2	6388	11216	3830	4	4	2	4546	11842	9	3	5	6	7	2	13	8898	3	2664	5	251	1	5	3	99	6	8	17520	6	2	0	2	11630	1	7	7	8	7	0	3	4	4	0	12	4	13417	19638	9	7	21566	17859	4	9782	5678	26087	7	1	5	4	5
k__Bacteria	846	263	64	995	52	209	66	600	67	22	69	98	512	5	333	254	127	232	519	96	87	10	211	40	53	609	106	67	243	158	22	259	5	24	443	82	80	304	87	13	1230	176	537	15	61	710	8	551	22	35	1	2064	214	61	109	13	12	68	43	38	49	66	62	125	236	150	23	423	134	447	5	5	3	10	91	24	2	0	10	0	4	25	5	102	633	271	81	323	29	13	10	16	108	80	100	6	56	125	17	114	2826	51	12	89	479	4	30	4	23	77	30	51	11	4	354	35	6	1766	15	35	11	278	109	22	1	4	5	29	5	3	14	13	37	8
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae;t__Methanosphaera_stadtmanae_DSM_3091	0	2658	45	0	2	111	25	0	27	109	0	0	878	0	578	32	0	135	892	19	3	0	279	4	37	694	89	148	3053	744	12	524	4	123	1	127	475	5793	753	1	1008	0	0	50	0	1	11	1008	1096	6	0	1465	14	2124	15	46	0	0	0	293	0	1	0	1765	282	1706	77	38	0	801	0	0	33	6	15	231	0	0	23	39	634	0	0	22	496	1462	1074	296	2528	1949	2	5246	1503	43	27	61	1227	10	25	14	4653	0	0	3324	314	8	0	1061	0	510	282	478	0	0	94	745	32	3177	269	6	0	2543	716	0	2	0	0	0	2	0	0	521	401	125
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_millerae	0	29	0	0	0	0	162	0	0	14	0	1	0	0	0	0	0	0	11341	0	0	0	0	0	0	0	0	0	0	1	1	0	0	10	0	0	2971	234	10105	1	0	0	1	0	0	1	0	1	0	0	0	1	107	5	0	450	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	26	0	1	0	3230	5180	0	0	11	10194	0	120	0	718	1	104	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	134	2	7	2	11	4	7	4	1	0	11	68	0	48	0	0	1	394	0	2	0	37	0	0	72	2	2	66	15	4	16	0	0	6	12	141	505	381	92	35	0	0	0	0	1	0	127	386	0	0	56	4	85	0	7	0	0	0	76	0	0	0	49	23	73	3	1	0	8	0	0	0	0	0	2	0	0	0	28	224	0	0	0	11	202	498	98	471	658	0	257	513	0	4	0	99	0	2	0	182	0	14	139	10	0	0	287	19	45	45	14	0	16	7	142	0	106	10	0	0	59	84	0	0	26	0	0	0	12	33	119	122	37
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	1	0	0	2	1	0	1	0	0	0	0	4	17	10	1	1	0	0	0	0	0	0	2	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	25	0	14	29	0	7	11	0	0	0	0	0	0	0	6	0	0	1	0	0	0	13	0	0	2	0	0	2	0	12	0	5	0	0	0	0	3	0	0	3	0	0	0	0	2	1	6	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_boviskoreani;t__Methanobrevibacter_boviskoreani_JH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	77	428	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_boviskoreani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	9	66	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	0	2293	26	737	484	469	13	262	10	1	0	1279	2133	0	3574	15	0	102	2235	10	93	0	119	17	39	2781	135	309	1567	538	352	413	0	1	851	109	1129	6481	2447	1229	881	9	1	1	1	221	4	4276	161	3	0	1376	50	1390	8	197	1	74	0	1189	15	1	0	931	368	2168	27	24	1	227	9	14	3	8	25	77	0	0	1	436	128	0	1	19	496	7901	1861	193	1670	433	2	4343	3208	20	47	7	1012	3	24	4	4004	0	1001	2254	679	17	0	1071	2414	1254	66	1045	6	956	509	544	50	2457	72	1	0	1133	67	0	0	244	0	0	0	146	410	47	254	13
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	0	170	0	3	4	11	3	9	4	0	0	21	72	0	92	1	0	6	615	0	2	0	21	0	1	85	3	8	109	29	6	18	0	0	11	9	269	578	750	159	32	0	0	0	0	4	0	166	53	0	2	65	7	97	1	34	0	2	0	82	0	1	0	50	14	117	2	3	0	11	0	0	0	0	1	3	0	0	0	52	29	0	0	2	22	216	293	66	550	119	0	291	875	4	5	0	122	0	3	0	211	0	27	150	24	1	0	171	37	43	7	39	1	46	12	79	1	122	11	1	0	54	23	0	0	37	0	0	0	17	43	11	48	2
