#OTU ID	CZ.MB64.S64.L001.R1	CZ.MB6.S6.L001.R1	CZ.MB71.S71.L001.R1	CZ.MB132.S132.L001.R1	CZ.MB115.S115.L001.R1	CZ.MB22.S22.L001.R1	CZ.MB41.S41.L001.R1	CZ.MB43.S43.L001.R1	CZ.MB120.S120.L001.R1	CZ.MB96.S96.L001.R1	CZ.MB128.S128.L001.R1	CZ.MB54.S54.L001.R1	CZ.MB107.S107.L001.R1	CZ.MB57.S57.L001.R1	CZ.MB29.S29.L001.R1	CZ.MB93.S93.L001.R1	CZ.MB4.S4.L001.R1	CZ.MB34.S34.L001.R1	CZ.MB116.S116.L001.R1	CZ.MB124.S124.L001.R1	CZ.MB26.S26.L001.R1	CZ.MB123.S123.L001.R1	CZ.MB136.S136.L001.R1	CZ.MB39.S39.L001.R1	CZ.MB55.S55.L001.R1	CZ.MB45.S45.L001.R1	CZ.MB89.S89.L001.R1	CZ.MB135.S135.L001.R1	CZ.MB72.S72.L001.R1	CZ.MB80.S80.L001.R1	CZ.MB127.S127.L001.R1	CZ.MB68.S68.L001.R1	CZ.MB84.S84.L001.R1	CZ.MB70.S70.L001.R1	CZ.MB90.S90.L001.R1	CZ.MB103.S103.L001.R1	CZ.MB105.S105.L001.R1	CZ.MB108.S108.L001.R1	CZ.MB94.S94.L001.R1	CZ.MB106.S106.L001.R1	CZ.MB112.S112.L001.R1	CZ.MB73.S73.L001.R1	CZ.MB51.S51.L001.R1	CZ.MB98.S98.L001.R1	CZ.MB77.S77.L001.R1	CZ.MB53.S53.L001.R1	SZ.SC5.S141.L001.R1	CZ.MB91.S91.L001.R1	CZ.MB24.S24.L001.R1	CZ.MB56.S56.L001.R1	CZ.MB87.S87.L001.R1	CZ.MB20.S20.L001.R1	CZ.MB61.S61.L001.R1	CZ.MB113.S113.L001.R1	SZ.SC6.S142.L001.R1	CZ.MB104.S104.L001.R1	CZ.MB110.S110.L001.R1	CZ.MB109.S109.L001.R1	CZ.MB5.S5.L001.R1	CZ.MB85.S85.L001.R1	CZ.MB1.S1.L001.R1	CZ.MB97.S97.L001.R1	CZ.MB44.S44.L001.R1	CZ.MB100.S100.L001.R1	CZ.MB119.S119.L001.R1	SZ.SC4.S140.L001.R1	SZ.SC3.S139.L001.R1	CZ.MB82.S82.L001.R1	CZ.MB17.S17.L001.R1	CZ.MB122.S122.L001.R1	SZ.SC7.S143.L001.R1	CZ.MB28.S28.L001.R1	CZ.MB88.S88.L001.R1	CZ.MB19.S19.L001.R1	CZ.MB81.S81.L001.R1	CZ.MB83.S83.L001.R1	CZ.MB25.S25.L001.R1	CZ.MB133.S133.L001.R1	CZ.MB121.S121.L001.R1	CZ.MB99.S99.L001.R1	CZ.MB42.S42.L001.R1	CZ.MB69.S69.L001.R1	CZ.MB86.S86.L001.R1	CZ.MB31.S31.L001.R1	CZ.MB30.S30.L001.R1	CZ.MB47.S47.L001.R1	CZ.MB7.S7.L001.R1	CZ.MB134.S134.L001.R1	CZ.MB8.S8.L001.R1	CZ.MB27.S27.L001.R1	CZ.MB32.S32.L001.R1	CZ.MB2.S2.L001.R1	CZ.MB67.S67.L001.R1	CZ.MB52.S52.L001.R1	CZ.MB9.S9.L001.R1	CZ.MB102.S102.L001.R1	CZ.MB60.S60.L001.R1	CZ.MB16.S16.L001.R1	CZ.MB63.S63.L001.R1	CZ.MB92.S92.L001.R1	CZ.MB50.S50.L001.R1	CZ.MB79.S79.L001.R1	CZ.MB48.S48.L001.R1	CZ.MB21.S21.L001.R1	CZ.MB62.S62.L001.R1	CZ.MB36.S36.L001.R1	CZ.MB111.S111.L001.R1	CZ.MB58.S58.L001.R1	CZ.MB114.S114.L001.R1	CZ.MB3.S3.L001.R1	CZ.MB118.S118.L001.R1	CZ.MB126.S126.L001.R1	CZ.MB65.S65.L001.R1	CZ.MB117.S117.L001.R1	CZ.MB38.S38.L001.R1	CZ.MB78.S78.L001.R1	CZ.MB12.S12.L001.R1	CZ.MB37.S37.L001.R1	CZ.MB10.S10.L001.R1	CZ.MB33.S33.L001.R1	CZ.MB13.S13.L001.R1	CZ.MB95.S95.L001.R1	CZ.MB11.S11.L001.R1	CZ.MB40.S40.L001.R1	CZ.MB59.S59.L001.R1	CZ.MB66.S66.L001.R1	CZ.MB35.S35.L001.R1	CZ.MB14.S14.L001.R1	CZ.MB18.S18.L001.R1	CZ.MB130.S130.L001.R1	CZ.MB129.S129.L001.R1	CZ.MB76.S76.L001.R1	CZ.MB125.S125.L001.R1	CZ.MB101.S101.L001.R1	CZ.MB23.S23.L001.R1	CZ.MB75.S75.L001.R1	CZ.MB49.S49.L001.R1	CZ.MB131.S131.L001.R1	SZ.SC1.S137.L001.R1	CZ.MB46.S46.L001.R1	SZ.SC2.S138.L001.R1	CZ.MB15.S15.L001.R1
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellamassilia;s__Prevotellamassilia_timonensis	720	0	560	0	1	0	144	0	343	3	0	0	0	12	1	0	0	1141	267	0	0	74	59	0	0	0	0	0	0	7	0	203	0	0	1	2	0	0	308	0	1	0	1	227	0	0	0	1	10	0	74	37	0	0	0	0	1740	74	0	0	1	0	0	1	3	0	0	5	12	0	0	0	565	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3021	25	0	0	0	15	30	8965	0	0	7	0	0	1	0	0	0	0	0	0	871	1	4	12	0	1	0	0	0	0	0	0	4	1	13	0	1	0	21	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	15972	62	5411	52	1921	586	21369	3028	17531	957	4922	372	177	210	40	26928	14	515	10243	5015	100	3982	7669	2954	57	3445	242	4912	8009	588	709	31452	154	8714	6694	48	29	15	8206	80	5259	1611	260	4121	28591	28	2	4713	11047	85	232	3175	2451	439	1	83	857	102	5	371	359	266	2563	6388	5335	5	4	1550	2046	6530	3	188	700	5131	69	37	4	46	2087	2190	10185	3256	64	60	6152	4775	740	3962	84	125	266	57	6603	621	1163	118	4853	4856	13958	10251	243	15	6108	2550	8518	3599	5754	704	727	1116	4869	3436	2965	4469	647	13181	3561	913	9775	307	11685	5902	7766	6559	3477	3389	12121	11235	3883	9853	14016	6670	2580	3	14292	3502	2	0	5	3292	6	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	14400	82	7355	486	1482	570	16113	5210	12665	1900	3024	1045	168	7029	82	18444	78	788	7548	3989	105	4685	7461	2578	197	4226	3740	6064	4049	1783	629	25607	1224	10918	16064	52	87	194	6034	472	6154	3057	4135	4189	20590	52	148	5099	3780	374	2290	3272	2293	348	5	128	3028	1036	5	534	566	1314	3286	5140	6551	297	10	2010	3070	7271	1028	673	1663	4603	7767	44	3	426	4990	2768	19918	3741	310	134	4685	4310	1705	9607	636	211	322	10699	7897	1942	8283	202	4176	6545	10076	5407	430	18	4531	3906	6628	2953	5226	1637	743	1426	6597	2188	3835	6945	738	12071	7158	1211	18995	4401	10400	5859	9132	9332	3630	4708	9307	7267	4624	6633	10949	6587	1672	8	7084	4923	6	8	152	2228	7365	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	2	2	7700	10	6	4130	7	0	1	12	10845	7	2	4	4	11	2	1	2	23232	6	5872	3961	4	2405	13724	1	5728	5175	7	19675	6	10	8	4	20	7	784	1	5	4	15935	5	12244	6805	4	2	5	3486	1773	6	1836	10	3	4	7	5	8	3	5	5	7	3515	10578	2	5	2	8	2	1	3	10	7	1	5	5	2	96	3	9297	3	1	160	641	9	8930	96	3	0	3	225	3	8	5	1	5	3	9	11	4	2	6	23811	17988	10	3	6	4	2	2	2	16276	3	4	0	8136	2	1	0	2	1	4	5	4	0	6	3	0	5	2568	9304	6	21338	5	10235	20924	4	1	4	16299	18	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	7	68	26	1	7508	0	20	709	49	0	1	182	1576	330	1330	836	2129	13	3	1	509	73	2	1305	3061	1	390	0	0	105	0	23	13	9	520	416	6149	2287	1	1	1496	0	45	1	14	4132	0	2659	0	2102	294	1	3817	4078	0	1761	946	997	417	961	237	257	0	0	26	1	0	108	24	204	1	65	2320	804	13	2169	905	21	0	0	0	1	194	1075	19	0	48	89	6	151	47	120	9	67	458	1157	881	7	2311	341	1019	1175	0	0	1089	483	1196	72	2059	9	4	1	18	14	2033	2	3404	643	37	15	124	3	96	8	218	4	471	449	1223	9	0	0	0	136	0	0	236	386	9	0	1	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_millerae	0	104	0	8	1	0	0	0	0	0	0	3016	4709	1	4	0	3	0	0	0	0	0	0	1	9389	0	0	0	0	0	0	0	150	0	1	0	205	9271	0	14	0	0	0	0	0	8	2	0	0	10442	0	0	0	1	3	0	1	0	413	667	0	0	1	0	0	0	0	0	0	1	66	0	0	0	0	27	0	93	0	0	1	0	412	2734	25	0	100	0	0	0	106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	17	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	4	0	0	0	0	0	0	0	11	0	3	3	2	0	0	0	5	0	0	1	10	0	0	0	0	0	0	0	0	0	1	27	11	5	0	0	3	0	1	0	0	10	0	1	0	5	0	0	4	6	0	18	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	7	0	2	0	1	1	0	3	0	8	1	0	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	18	3	2	220	0	0	10	0	0	0	258	912	10	82	43	137	0	0	0	180	3	0	61	1202	0	13	0	0	13	0	1	14	0	22	939	549	1109	0	1	70	0	173	0	0	272	1	83	0	1111	7	0	202	146	0	621	15	19	61	152	152	7	0	0	2	1	16	46	0	4	2	56	28	12	44	140	29	11	0	0	0	0	36	323	0	0	9	2	0	532	14	334	0	121	5	89	52	0	116	22	300	120	0	0	64	9	51	1	78	8	0	0	0	0	80	0	57	16	1	1	2	0	2	0	7	0	14	13	16	0	0	0	0	17	0	0	43	48	21	1	10	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
